,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
220,220,پراید,دیروز,1398,136000,SE,تهران / تولید دارو,230000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/99981f2c-64c2-4e18-bbe0-f21ed958070d/CarImage_638375053959035016_thumb_900_600.jpg?width=270
221,221,پراید,دیروز,1382,42000,دنده ای,تهران / پل چوبی,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e37fcc34-c5eb-4bcf-be45-b7a4baa3c089/CarImage_638375048008037953_thumb_900_600.jpeg?width=270
222,222,کیا,دیروز,1397,100000,2.0 لیتر آپشنال,بندر ماهشهر,1300000000.0,/images/default-images/default-car-white.svg
223,223,کوییک,دیروز,1402,0,دنده ای,بوئین زهرا,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d25785be-3309-484c-9dae-9af5dd1fd3cc/CarImage_638375032686882814_thumb_900_600.jpg?width=270
224,224,ساینا,دیروز,1400,80000,دنده ای,تهران / خواجه نظام الدین,305000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/f4b236f0-a302-463f-9b89-4a822c368a69/CarImage_638375012810055607_thumb_900_600.jpg?width=270
225,225,پراید,دیروز,1384,340000,دنده ای,ارومیه,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/359e98d3-45b2-4984-8ef3-3af2a39de9cf/CarImage_638375012086102613_thumb_900_600.jpg?width=270
226,226,پراید,دیروز,1385,550000,دنده ای,اسلام شهر,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/f85dd012-68dd-4dae-9510-bdad89fcc527/CarImage_638375001291074774_thumb_900_600.jpg?width=270
227,227,کوییک,دیروز,1402,0,دنده ای,اصفهان / بلوار آتشگاه,,/images/default-images/default-car-white.svg
228,228,برلیانس,دیروز,1397,70000,1.65 اتوماتیک,رامسر,725000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/8dc87b23-9e85-4342-88dc-3cbd68c4b0ad/CarImage_638374996415521999_thumb_900_600.jpeg?width=270
229,229,کوییک,دیروز,1402,0,دنده ای,اصفهان / شهرک ولی عصر,360000000.0,/images/default-images/default-car-white.svg
230,230,کیا,دیروز,1395,31000,2.0 لیتر ساده,تهران / ونک,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e9441b5a-2672-4a89-930f-c27bea4d2971/CarImage_638293430818956256_thumb_900_600.jpg?width=270
